"['A046', '0']","['B5881', '89']","['B3091', '46']","['A046', '0']"
"['A046', '0']","['B3835', '83']","['B5824', '22']","['A046', '0']"
"['A046', '0']","['B3791', '56']","['B5954', '82']","['A046', '0']"
"['A046', '0']","['B0472', '57']","['B6481', '45']","['A046', '0']"
"['A046', '0']","['B1400', '55']","['B1168', '33']","['A046', '0']"
"['A046', '0']","['B0984', '47']","['B7858', '53']","['A046', '0']"
"['A046', '0']","['B7634', '34']","['B2298', '92']","['A046', '0']"
"['A046', '0']","['B4677', '36']","['B1590', '68']","['A046', '0']"
"['A046', '0']","['B5174', '59']","['B3214', '21']","['B1350', '58']","['A046', '0']"
"['A046', '0']","['B5551', '40']","['B5732', '49']","['A046', '0']"
"['A046', '0']","['B1746', '97']","['B6212', '37']","['A046', '0']"
"['A046', '0']","['B3631', '54']","['B1912', '52']","['A046', '0']"
"['A046', '0']","['B7718', '28']","['B3412', '74']","['B8819', '23']","['A046', '0']"
"['A046', '0']","['B7036', '40']","['B4445', '23']","['B0588', '52']","['A046', '0']"
"['A046', '0']","['B4509', '65']","['B4008', '43']","['A046', '0']"
"['A046', '0']","['B8643', '61']","['B5496', '52']","['A046', '0']"
"['A046', '0']","['B8848', '63']","['A046', '0']"
"['A046', '0']","['B2019', '72']","['B8702', '64']","['A046', '0']"
"['A046', '0']","['B2920', '42']","['B8715', '19']","['B1185', '39']","['B2813', '39']","['A046', '0']"
"['A046', '0']","['B8000', '93']","['B2375', '46']","['A046', '0']"
"['A046', '0']","['B0548', '87']","['B7413', '34']","['A046', '0']"
"['A046', '0']","['B5662', '46']","['B4252', '54']","['B6025', '36']","['A046', '0']"
"['A046', '0']","['B0137', '40']","['B4707', '30']","['B7156', '62']","['A046', '0']"
"['A046', '0']","['B5704', '53']","['B3048', '30']","['A046', '0']"
