"['A107', '0']","['B1135', '40']","['B1637', '26']","['B7987', '39']","['A107', '0']"
"['A107', '0']","['B4250', '46']","['B1118', '61']","['A107', '0']"
"['A107', '0']","['B2474', '50']","['B3626', '64']","['A107', '0']"
"['A107', '0']","['B8102', '38']","['B3009', '67']","['A107', '0']"
"['A107', '0']","['B2681', '29']","['B6552', '39']","['A107', '0']"
"['A107', '0']","['B2607', '67']","['B0186', '60']","['A107', '0']"
"['A107', '0']","['B0002', '47']","['B5993', '25']","['B2038', '34']","['A107', '0']"
"['A107', '0']","['B4075', '51']","['B7870', '27']","['B1612', '34']","['A107', '0']"
"['A107', '0']","['B0711', '48']","['B3662', '81']","['A107', '0']"
"['A107', '0']","['B4693', '63']","['B1655', '77']","['A107', '0']"
"['A107', '0']","['B4229', '39']","['B7678', '55']","['B7292', '34']","['A107', '0']"
"['A107', '0']","['B8651', '13']","['B3002', '8']","['B2841', '7']","['B5772', '22']","['B7405', '25']","['B0761', '43']","['S283', '3', 219, 308]","['B3009', '-3', 309]","['S298', '2', 235, 323]","['B7987', '-2', 325]","['S293', '1', 220, 305]","['B0105', '-1', 310]","['S312', '3', 237, 280]","['B9095', '-3', 327]","['S313', '1', 302, 390]","['B2433', '-1', 392]","['S282', '1', 373, 463]","['B8828', '-1', 463]","['S283', '2', 369, 457]","['B1135', '-2', 459]","['A107', '0']"
"['A107', '0']","['B3321', '60']","['B6386', '56']","['A107', '0']"
"['A107', '0']","['B0516', '80']","['B3237', '59']","['A107', '0']"
"['A107', '0']","['B5957', '51']","['B1799', '48']","['A107', '0']"
"['A107', '0']","['B5685', '43']","['B7589', '48']","['A107', '0']"
"['A107', '0']","['B7316', '35']","['B3916', '67']","['B4245', '30']","['A107', '0']"
"['A107', '0']","['B5222', '46']","['B4323', '47']","['A107', '0']"
"['A107', '0']","['B5349', '66']","['B8828', '42']","['A107', '0']"
"['A107', '0']","['B2433', '70']","['B7203', '42']","['A107', '0']"
