"['A056', '0']","['B8266', '33']","['B5708', '55']","['B3657', '31']","['A056', '0']"
"['A056', '0']","['B5582', '68']","['B3531', '41']","['B6834', '18']","['A056', '0']"
"['A056', '0']","['B8269', '27']","['B2641', '47']","['B1114', '25']","['A056', '0']"
"['A056', '0']","['B6008', '52']","['B0953', '81']","['A056', '0']"
"['A056', '0']","['B3333', '38']","['B5748', '41']","['B4688', '20']","['B7286', '5']","['B5276', '7']","['B0703', '7']","['S466', '1', 240, 325]","['B4013', '-1', 330]","['S474', '2', 257, 329]","['B9154', '-2', 347]","['S466', '2', 297, 383]","['B2270', '-2', 387]","['S474', '2', 272, 345]","['B3174', '-2', 362]","['S463', '1', 324, 412]","['B4013', '-1', 414]","['S474', '3', 335, 405]","['B5908', '-3', 425]","['A056', '0']"
"['A056', '0']","['B4258', '50']","['B8416', '28']","['B3187', '32']","['A056', '0']"
"['A056', '0']","['B2489', '62']","['B8779', '9']","['B8494', '46']","['A056', '0']"
"['A056', '0']","['B7339', '36']","['B7622', '36']","['B2329', '41']","['A056', '0']"
"['A056', '0']","['B0430', '33']","['B7504', '41']","['B3907', '25']","['A056', '0']"
"['A056', '0']","['B4544', '35']","['B0183', '41']","['B6734', '59']","['A056', '0']"
"['A056', '0']","['B2828', '61']","['B1407', '38']","['A056', '0']"
"['A056', '0']","['B4013', '28']","['B6090', '43']","['B2270', '11']","['A056', '0']"
"['A056', '0']","['B0353', '51']","['B7394', '30']","['B4358', '56']","['A056', '0']"
"['A056', '0']","['B0769', '48']","['B5501', '54']","['B5411', '32']","['A056', '0']"
"['A056', '0']","['B0885', '37']","['B1509', '51']","['B2809', '37']","['A056', '0']"
"['A056', '0']","['B3719', '42']","['B4751', '29']","['B1313', '50']","['B4982', '6']","['A056', '0']"
