"['A081', '0']","['B7445', '35']","['B0285', '47']","['A081', '0']"
"['A081', '0']","['B9107', '44']","['B1355', '63']","['A081', '0']"
"['A081', '0']","['B4354', '44']","['B5481', '41']","['B8210', '49']","['A081', '0']"
"['A081', '0']","['B6482', '33']","['B5812', '48']","['A081', '0']"
"['A081', '0']","['B3249', '43']","['B3654', '68']","['A081', '0']"
"['A081', '0']","['B0233', '72']","['B1082', '39']","['A081', '0']"
"['A081', '0']","['B5505', '48']","['B8956', '44']","['B4164', '42']","['A081', '0']"
"['A081', '0']","['B6560', '42']","['B3815', '68']","['B8571', '25']","['A081', '0']"
"['A081', '0']","['B2047', '18']","['B7893', '31']","['B8990', '34']","['B9157', '37']","['A081', '0']"
"['A081', '0']","['B3731', '28']","['B5442', '48']","['B8265', '48']","['A081', '0']"
"['A081', '0']","['B3650', '44']","['B5438', '36']","['A081', '0']"
"['A081', '0']","['B2386', '44']","['B4308', '18']","['B0659', '40']","['B8161', '21']","['A081', '0']"
"['A081', '0']","['B5793', '59']","['B3688', '64']","['A081', '0']"
"['A081', '0']","['B3095', '54']","['B9208', '62']","['A081', '0']"
"['A081', '0']","['B4806', '53']","['B3709', '79']","['A081', '0']"
"['A081', '0']","['B6322', '45']","['B9108', '55']","['A081', '0']"
"['A081', '0']","['B3866', '46']","['B8006', '68']","['A081', '0']"
